a8a4b79b53fc7cbb023afedf58b04dd4e9bbb114,fs/reiserfs/objectid.c,0,1,1107
d06f107bcd828a6c3ecd4a7d449d5d0c0dba0326,drivers/bluetooth/btintel.h,9,0,2705
221ff3d0d59bcb20671e3e36b8417b52ca0de89f,drivers/media/dvb-frontends/drxd_hard.c,0,4,8045
bbc81fd4327f9ed4480b05981e38acd48b1d184a,arch/arm/mach-omap2/omap-hotplug.c,0,8,3136
4c8d819343461d3c3b8d99874cb2ae0ec59ad34a,drivers/cpufreq/exynos4x12-cpufreq.c,33,6,6683
0cfbfde65aec4cd9ae4e7971f8a3e42c69e8e24f,drivers/power/bq24257_charger.c,78,6,3970
0b77f5bfb45c13e1e5142374f9d6ca75292252a4,security/keys/Makefile,1,0,122
fe4a3c7a20f14d86022a8132adbf6ddb98e7197c,drivers/mmc/sdhci.h,0,1,17042
728674a7e466628df2aeec6d11a2ae1ef968fb67,drivers/tty/Makefile,1,0,12414
96601adb745186ccbcf5b078d4756f13381ec2af,include/linux/pmem.h,22,14,197
bd4c625c061c2a38568d0add3478f59172455159,fs/reiserfs/objectid.c,151,151,20069
e836a256e8fd579c9d7a3685f22981225a1ca451,include/linux/pmem.h,9,19,197
c1accaa21bdef38ec0f36eaaf7ce3384fff9d0c5,drivers/media/common/saa7146_vbi.c,5,3,1972
aac307f9dd5ce1fe651140a036ab4b0a0571b54a,drivers/staging/comedi/drivers/amplc_pci263.c,1,1,157
9f5fae2fe6dc35b46bf56183f11398451851cb3f,fs/btrfs/mkfs.c,37,6,12074
9b1cf1e44d91e80b17a315d04193b1764ca82a15,drivers/power/bq24257_charger.c,11,18,3970
1261ec42b3d3a3ad878bd172144940e3ac710749,fs/btrfs/mkfs.c,93,1,12074
993709edbfece976804ae0d52385fc6315e73064,drivers/staging/rt3070/common/cmm_data.c,18,40,12581
b61873922d2c0029411304e66f810f5133b32c4d,drivers/media/platform/vsp1/vsp1_dl.c,14,7,243
2e635a278354a1a7951e16cfea4c247d6d0e7c99,fs/btrfs/mkfs.c,0,255,12074
fefecc6989b4b24276797270c0e229c07be02ad3,drivers/staging/rt2860/sta/wpa.c,0,374,231
7fd0ac66c2de5767e234fea6436d28dce210da80,drivers/net/ethernet/intel/i40evf/i40e_virtchnl.h,0,1,103
b932ccb5674eb649133b5c33950405c37d17aab3,drivers/char/drm/drm_sysfs.c,1,1,882
bbdf6e888dfd4e8c4ee748c6d8803a1d343c5def,drivers/staging/rt2870/common/cmm_info.c,0,13,12581
b96fc2f3c145815359ac1f9f12cc5c852b9ba3f5,arch/arm/mach-omap2/omap-hotplug.c,1,1,588
4246a0b63bd8f56a1469b12eafeb875b1041a451,drivers/block/rsxx/dev.c,6,3,108
3e2f29e4137c78a3bd7e1b85cf287ff375f6367e,drivers/gpu/drm/msm/msm_fb.c,2,0,1124
3e0c190dbf51f587ac78b3b1bcd85648a7dbe166,drivers/cpuidle/cpuidle-calxeda.c,1,1,6156
44a4524c54af2059bd7e967b0527fb7c6618672a,drivers/net/ethernet/broadcom/bcmsysport.h,62,15,81
121daad8fd1dce63076fa55aaedd5dc3f981b334,drivers/char/hw_random/atmel-rng.c,7,0,10913
84717059b36187025c6483566de6873661787c74,drivers/staging/rt3070/common/cmm_data.c,5,47,12581
a01e28f692088e9789ebb0c374fdac83de59899b,drivers/misc/mic/host/mic_x100.c,247,0,2037
2f9f26bd8614740b3c3b950394d945a99492a28e,drivers/platform/x86/dell-smbios.c,194,0,1241
fbaa72d56424553f0aa434d8816a0da7a9071415,drivers/misc/mic/host/mic_x100.c,2,2,33
e8edf53b198f5656d5ae99685bc6c1f616662b3d,drivers/platform/x86/dell-smbios.c,16,0,1241
bc395add945659e04cc7cf250755ba0edc1a9fdc,scripts/package/buildtar,2,2,18699
defba1d8f233c0d5cf3e1ea6aeb898eca7231860,drivers/acpi/utilities/utresrc.c,109,0,418
f15cbe6f1a4b4d9df59142fc8e4abb973302cf44,arch/sh/kernel/time_64.c,2,2,10721
1da2b3eeef3667dbb92749f269e81757a6a79a16,drivers/misc/mic/host/mic_x100.c,23,23,3513
60a66e370007e8535b7a561353b07b37deaf35ba,drivers/cpuidle/cpuidle-calxeda.c,12,6,511
0fc0686e64d21a6abded96af2b1a895dfa8b2530,drivers/media/common/saa7146_vbi.c,5,5,14296
c3a9c2109f84882b9b3178f6b1838d550d3df0ec,fs/reiserfs/objectid.c,1,1,453
8c49a77ca451541938f90008f419fca965b76b72,drivers/block/rsxx/dev.c,5,3,9500
49debb5684009d56ec5a0f930e513b1044db5e76,drivers/staging/rt3070/common/cmm_data.c,0,1,12581
09df123d2d128c52987f11c85397cdbc9ffc89c6,drivers/bluetooth/btintel.h,9,0,2706
0ab4743ebc18c23bddf3e288cfc6221ec71533ac,drivers/block/rsxx/dev.c,3,3,9500
2f211c84ad40469c15226e899b720624fbd28e20,tools/perf/Documentation/perf-bench.txt,7,8,502
91980990527258a075361490cecadbb7356fc0d2,drivers/staging/rt2860/sta/wpa.c,2086,0,12414
ee45ddc1e03afc221afad273503b6c2fc0683008,drivers/media/dvb-frontends/drxd_hard.c,2,3,10852
75a44ce00b312f57264f42a0a985d17cd9994b98,include/acpi/acresrc.h,1,1,1117
03713bd226caece8e089490a47f093f5193e5e96,arch/sh/kernel/time_64.c,0,1,10721
145f2368c5fd7962e37315ccc092670743019d08,drivers/bluetooth/btintel.h,7,0,2705
59e6473980f321c16299e12db69d1fabc2644a6f,include/linux/pmem.h,19,0,197
3160fbc556aa2e60404fa4da35b3e13dd741a5a2,drivers/media/video/ovcamchip/ovcamchip_core.c,89,113,294
cf27e1eec063fa68a89c57ae0a83f93aa38851d6,fs/btrfs/mkfs.c,4,4,12074
472cd3db7b47a0720678e4c7cc1a472d2c06c218,drivers/staging/comedi/drivers/amplc_pci263.c,1,3,157
1c5d2265a82f8d3fa0471a60ca98072b3c53c299,arch/blackfin/mach-common/ints-priority-dc.c,3,0,1395
a406f5a3b68ee1db2306a2ba1c9b00dbd3505d05,drivers/mmc/sdhci.h,3,3,17042
487e873dd3f8d7ede7635896e19376ef78157721,drivers/staging/gma500/psb_drm.h,104,402,13482
08bff03ed697a583612b62a6ac566bd5bce98012,drivers/media/common/saa7146_vbi.c,1,1,294
b39ba19cf3d0f8a7c86bfcf0b0964b0d4c1fae33,drivers/media/dvb-frontends/drxd_hard.c,0,6,1587
3e24767b78744c7f335ca8c485ab0a0dcec693ec,drivers/bluetooth/btintel.h,6,0,2706
22691aec19371c0817565c3af54e276884e908ee,drivers/staging/comedi/drivers/amplc_pci263.c,127,0,558
c206c70924737db6836382c09ad2dacd04bb6204,drivers/block/rsxx/dev.c,1,1,9500
d897d7edee8eaf0a8f7924a9502fd68e72041f8c,drivers/misc/mic/host/mic_x100.c,5,6,33
c8afe684c95cd17cf4f273d81af369a0fdfa5a74,drivers/gpu/drm/msm/msm_fb.c,202,0,1124
732052ed3e7539d87136dd833be523747af3fb3e,drivers/char/drm/drm_sysfs.c,28,39,20927
708ab62bef1ed3a3cf065a4138bd87f5d083cfeb,include/linux/pmem.h,8,5,108
aa380ea0c54e491f7f31e8180514766dd3e6cd91,drivers/media/platform/vsp1/vsp1_dl.c,1,4,644
7c071a0a08f6c6327b86df918d2dda728355d457,drivers/power/bq24257_charger.c,45,10,3970
74eaa42b5c2808b37f15a2911cfeb7544790ee93,drivers/staging/rt2860/sta/wpa.c,0,5,12581
2141ec629c9c9a70c905cfebcc8fa69373dd982a,drivers/staging/dt3155/dt3155_isr.c,20,20,2217
115924b6bdc7cc6bf7da5b933b09281e1f4e17a9,drivers/net/vmxnet3/vmxnet3_defs.h,160,85,6140
6ab3d5624e172c553004ecc862bfeac16d9d68b7,fs/reiserfs/objectid.c,0,1,20468
44f6c01242da4e162f28d8e1216a8c7a91174605,include/acpi/acresrc.h,11,55,15397
8823b1dbc05fab1a8bec275eeae4709257c2661d,mm/Kconfig.debug,23,1,4240
ca97b8388838ee9ea4b4bad04948f8f7f8a607a3,drivers/staging/rt2860/sta/wpa.c,498,1495,12581
c04d66bbbdbbc7b5d55c42795f29e494190f8fb3,arch/blackfin/mach-common/ints-priority-dc.c,2,2,18202
fae91e72b79ba9a21f0ce7551a1fd7e8984c85a6,drivers/media/video/ovcamchip/ovcamchip_core.c,3,3,9086
0f7499fddb153a333dff3c1dc4280c178b9b5a80,drivers/media/rc/st_rc.c,1,2,289
cb16176380cca991dba162952941ad04ae760d0e,drivers/platform/x86/dell-smbios.c,2,2,1241
df673b227ce08a7706b30fd2bf6512393d9c3c29,drivers/mmc/sdhci.h,2,0,17042
40df3831f9b2fa386f55b580f294ea4f686704be,arch/mips/lib/r3k_dump_tlb.c,1,0,8100
dcff74ce8b458792c1628ad9f3803fc648f94e11,drivers/staging/dt3155/dt3155_isr.c,23,28,12414
dd83829ed9da6262487252851ca0aa67600d7d56,drivers/net/vmxnet3/vmxnet3_defs.h,1,1,3057
7d46d9e6dbffe8780aa8430a63543d3f7ba92860,mm/Kconfig.debug,1,0,15785
be99af6679174e5d0e9f36fc8c18318a8ce34bca,drivers/media/video/ovcamchip/ovcamchip_core.c,0,1,9086
c5c44531ad00ed87078e799f0932c220031aa1c9,drivers/staging/gma500/psb_drm.h,7,8,1022
6ab3d5624e172c553004ecc862bfeac16d9d68b7,drivers/char/drm/drm_sysfs.c,0,1,20468
3bd32722c827d00eafe8e6d5b83e9f3148ea7c7e,drivers/rtc/rtc-s35390a.c,30,17,1236
d4ef098e4cd836b3726781eabe064d7010b6eaa8,drivers/misc/mic/host/mic_x100.c,8,0,5495
dd2da6e34672100b5fd811fbf2cf97e29c08080f,drivers/gpu/drm/msm/msm_fb.c,1,0,1124
